sample_order,case_control_pair_id,pair_sequence_within_cohort,sample_role,source_payment_id,paired_source_payment_id,priority_payment_cohort,issue_case_flag,issue_definition_hits,issue_mode,paired_issue_mode,issue_selection_rank,issue_mode_selection_rank,payment_date,month,account_id,entity_id,entity_name,region,country,bank_name,erp_system,purpose,visibility_method,payment_type,currency,amount_local,usd_per_unit,amount_usd,amount_band_usd,amount_band_order,cross_border_flag,cross_border_wire_flag,manual_touch_flag,exception_flag,late_release_flag,repair_minutes,fee_usd,status,payment_type_match,region_match,month_match,amount_band_match,match_deviation_count,match_deviation_detail,amount_band_distance,month_distance,absolute_amount_gap_usd,match_quality,selection_rule_version,sample_purpose,evidence_label,decision_boundary
39,C2-05,5,Issue case,P003604,P005532,Manual touch + cross-border wire,True,exception_flag; status_repaired,Exception/status,Exception/status,5,5,2026-05-27,2026-05,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,17348.37,1.0,17348.37,>$10k–$25k,2,True,True,True,True,False,70,58.5,Repaired,True,True,True,True,0,none,0,0,784.12,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
40,C2-05,5,Non-issue control,P005532,P003604,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-05-07,2026-05,AC0014,E004,Aurelius Canada,NA,Canada,Union Atlantic,Oracle-E1,Operating,API,Wire,CAD,24633.58,0.73608847,18132.49,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,784.12,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
41,C2-06,6,Issue case,P001380,P005706,Manual touch + cross-border wire,True,exception_flag; status_rejected,Exception/status,Exception/status,6,6,2026-05-12,2026-05,AC0022,E006,Aurelius Germany,EMEA,Germany,Meridian Commercial,SAP-S4,Collection,Portal,Wire,EUR,17326.2,1.101465,19084.2,>$10k–$25k,2,True,True,True,True,False,66,58.5,Rejected,True,True,True,True,0,none,0,0,1126.75,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
42,C2-06,6,Non-issue control,P005706,P001380,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-05-19,2026-05,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,16457.52,1.09113947,17957.45,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,1126.75,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
43,C2-07,7,Issue case,P001634,P002409,Manual touch + cross-border wire,True,exception_flag; status_repaired,Exception/status,Exception/status,7,7,2026-02-03,2026-02,AC0034,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,USD,8408.8,1.0,8408.8,≤$10k,1,True,True,True,True,False,66,58.5,Repaired,True,True,True,True,0,none,0,0,1805.4,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
44,C2-07,7,Non-issue control,P002409,P001634,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-02-10,2026-02,AC0042,E012,Aurelius Japan,APAC,Japan,Union Atlantic,Legacy-D365,Collection,Host-to-host,Wire,USD,6603.4,1.0,6603.4,≤$10k,1,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,1805.4,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
45,C2-08,8,Issue case,P002719,P006614,Manual touch + cross-border wire,True,exception_flag; status_repaired,Exception/status,Exception/status,8,8,2026-06-18,2026-06,AC0001,E001,Aurelius Group Holdings,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,8397.95,1.0,8397.95,≤$10k,1,True,True,True,True,False,66,58.5,Repaired,True,True,True,True,0,none,0,0,3828.32,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
46,C2-08,8,Non-issue control,P006614,P002719,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-06-03,2026-06,AC0001,E001,Aurelius Group Holdings,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,4569.63,1.0,4569.63,≤$10k,1,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,3828.32,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
47,C2-09,9,Issue case,P001249,P001508,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,9,1,2026-04-06,2026-04,AC0034,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,USD,104964.22,1.0,104964.22,>$100k,5,True,True,True,False,True,0,43.5,Completed,True,True,False,True,1,month,0,2,66533.26,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
48,C2-09,9,Non-issue control,P001508,P001249,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-06-19,2026-06,AC0036,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SAP-S4,Payroll,Host-to-host,Wire,SGD,233997.96,0.73290161,171497.48,>$100k,5,True,True,True,False,False,0,43.5,Completed,True,True,False,True,1,month,0,2,66533.26,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
49,C2-10,10,Issue case,P006132,P004225,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,10,2,2026-06-09,2026-06,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Wire,GBP,68606.12,1.33030904,91267.34,>$50k–$100k,4,True,True,True,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,2258.19,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
50,C2-10,10,Non-issue control,P004225,P006132,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-06-24,2026-06,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Wire,GBP,66584.59,1.3367831,89009.15,>$50k–$100k,4,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,2258.19,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
51,C2-11,11,Issue case,P001556,P001342,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,11,3,2026-03-03,2026-03,AC0034,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,USD,50927.4,1.0,50927.4,>$50k–$100k,4,True,True,True,False,True,0,43.5,Completed,True,False,True,True,1,region,0,0,10242.57,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
52,C2-11,11,Non-issue control,P001342,P001556,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-03-27,2026-03,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Wire,EUR,54874.6,1.11472279,61169.97,>$50k–$100k,4,True,True,True,False,False,0,43.5,Completed,True,False,True,True,1,region,0,0,10242.57,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
53,C2-12,12,Issue case,P005421,P004957,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,12,4,2026-05-19,2026-05,AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,Meridian Commercial,SAP-S4,Operating,Host-to-host,Wire,EUR,45566.08,1.09113947,49718.95,>$25k–$50k,3,True,True,True,False,True,0,43.5,Completed,True,False,True,True,1,region,0,0,18917.36,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
54,C2-12,12,Non-issue control,P004957,P005421,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-05-05,2026-05,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,30801.59,1.0,30801.59,>$25k–$50k,3,True,True,True,False,False,0,43.5,Completed,True,False,True,True,1,region,0,0,18917.36,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
55,C2-13,13,Issue case,P004257,P005201,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,13,5,2026-02-03,2026-02,AC0002,E001,Aurelius Group Holdings,NA,United States,Pacific Crown,Oracle-E1,Collection,Portal,Wire,USD,23417.59,1.0,23417.59,>$10k–$25k,2,True,True,True,False,True,0,43.5,Completed,True,False,True,True,1,region,0,0,2516.78,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
56,C2-13,13,Non-issue control,P005201,P004257,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-02-10,2026-02,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Wire,EUR,18589.43,1.12433831,20900.81,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,False,True,True,1,region,0,0,2516.78,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
57,C2-14,14,Issue case,P006949,P005903,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,14,6,2026-02-18,2026-02,AC0034,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,USD,19215.75,1.0,19215.75,>$10k–$25k,2,True,True,True,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,4363.38,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
58,C2-14,14,Non-issue control,P005903,P006949,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-02-18,2026-02,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,Wire,USD,14852.37,1.0,14852.37,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,4363.38,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
59,C2-15,15,Issue case,P001305,P007317,Manual touch + cross-border wire,True,late_release_flag,Late-only,Late-only,15,7,2026-05-19,2026-05,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,14757.08,1.0,14757.08,>$10k–$25k,2,True,True,True,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,1706.61,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
60,C2-15,15,Non-issue control,P007317,P001305,Manual touch + cross-border wire,False,none,Non-issue control,Late-only,0,0,2026-05-18,2026-05,AC0008,E002,Aurelius Home US,NA,United States,Pacific Crown,Oracle-E1,Tax,Portal,Wire,USD,16463.69,1.0,16463.69,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,1706.61,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
61,C3-01,1,Issue case,P000331,P001911,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,1,1,2026-04-21,2026-04,AC0032,E009,Aurelius Spain,EMEA,Spain,Northbridge Bank,Legacy-D365,Collection,Host-to-host,Wire,EUR,11560.15,1.09806686,12693.82,>$10k–$25k,2,True,True,False,True,False,73,58.5,Repaired,True,True,True,True,0,none,0,0,6223.59,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
62,C3-01,1,Non-issue control,P001911,P000331,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-04-23,2026-04,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Wire,EUR,17093.89,1.10667682,18917.41,>$10k–$25k,2,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,6223.59,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
63,C3-02,2,Issue case,P003269,P003650,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,2,2,2026-01-07,2026-01,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,Wire,USD,3472.73,1.0,3472.73,≤$10k,1,True,True,False,True,False,73,58.5,Repaired,True,True,True,True,0,none,0,0,1.36,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
64,C3-02,2,Non-issue control,P003650,P003269,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-01-29,2026-01,AC0036,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SAP-S4,Payroll,Host-to-host,Wire,SGD,4567.95,0.75993938,3471.37,≤$10k,1,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,1.36,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
65,C3-03,3,Issue case,P005998,P002361,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,3,3,2026-02-02,2026-02,AC0019,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Payroll,Host-to-host,Wire,GBP,20961.27,1.28568417,26949.57,>$25k–$50k,3,True,True,False,True,False,70,58.5,Repaired,True,True,True,True,0,none,0,0,604.96,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
66,C3-03,3,Non-issue control,P002361,P005998,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-02-20,2026-02,AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,Meridian Commercial,SAP-S4,Operating,Host-to-host,Wire,EUR,24350.89,1.13156155,27554.53,>$25k–$50k,3,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,604.96,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
67,C3-04,4,Issue case,P007235,P004939,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,4,4,2026-06-15,2026-06,AC0023,E006,Aurelius Germany,EMEA,Germany,Northbridge Bank,SAP-S4,Payroll,Host-to-host,Wire,EUR,23829.67,1.09098206,25997.74,>$25k–$50k,3,True,True,False,True,False,68,58.5,Repaired,True,True,True,True,0,none,0,0,167.52,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
68,C3-04,4,Non-issue control,P004939,P007235,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-06-18,2026-06,AC0029,E008,Aurelius Netherlands,EMEA,Netherlands,Continental Trust,SAP-S4,Collection,API,Wire,EUR,23889.79,1.09524857,26165.26,>$25k–$50k,3,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,167.52,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
69,C3-05,5,Issue case,P002222,P007341,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,5,5,2026-03-13,2026-03,AC0005,E002,Aurelius Home US,NA,United States,Continental Trust,Oracle-E1,Operating,API,Wire,USD,1271.53,1.0,1271.53,≤$10k,1,True,True,False,True,False,67,58.5,Repaired,True,True,True,True,0,none,0,0,16.12,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
70,C3-05,5,Non-issue control,P007341,P002222,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-03-19,2026-03,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,1287.65,1.0,1287.65,≤$10k,1,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,16.12,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
71,C3-06,6,Issue case,P004761,P007435,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,6,6,2026-05-20,2026-05,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,Wire,USD,8799.73,1.0,8799.73,≤$10k,1,True,True,False,True,False,66,58.5,Repaired,True,True,True,True,0,none,0,0,3027.45,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
72,C3-06,6,Non-issue control,P007435,P004761,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-05-05,2026-05,AC0053,E016,Aurelius Global Sourcing,APAC,Singapore,Pacific Crown,SAP-S4,Operating,API,Wire,USD,5772.28,1.0,5772.28,≤$10k,1,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,3027.45,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
73,C3-07,7,Issue case,P007036,P002862,Cross-border wire only,True,exception_flag; late_release_flag; status_repaired,Exception/status,Exception/status,7,7,2026-05-25,2026-05,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Wire,EUR,161741.04,1.0860574,175660.05,>$100k,5,True,True,False,True,True,65,58.5,Repaired,True,True,False,True,1,month,0,1,77889.79,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
74,C3-07,7,Non-issue control,P002862,P007036,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-04-07,2026-04,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,228829.64,1.10802885,253549.84,>$100k,5,True,True,False,False,False,0,43.5,Completed,True,True,False,True,1,month,0,1,77889.79,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
75,C3-08,8,Issue case,P003605,P003442,Cross-border wire only,True,exception_flag; status_repaired,Exception/status,Exception/status,8,8,2026-06-18,2026-06,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,20286.84,1.09524857,22219.13,>$10k–$25k,2,True,True,False,True,False,64,58.5,Repaired,True,True,True,True,0,none,0,0,2928.15,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
76,C3-08,8,Non-issue control,P003442,P003605,Cross-border wire only,False,none,Non-issue control,Exception/status,0,0,2026-06-18,2026-06,AC0019,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Payroll,Host-to-host,Wire,GBP,14321.54,1.34699075,19290.98,>$10k–$25k,2,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,2928.15,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
77,C3-09,9,Issue case,P002715,P006157,Cross-border wire only,True,late_release_flag,Late-only,Late-only,9,1,2026-02-09,2026-02,AC0005,E002,Aurelius Home US,NA,United States,Continental Trust,Oracle-E1,Operating,API,Wire,USD,41107.35,1.0,41107.35,>$25k–$50k,3,True,True,False,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,13316.71,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
